strategy,remaining_words,guess_count
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
MinExpectedGuesses,1,1
